tR_prediction	tR_target	dtR
9.383473	9.492	-0.10852660369873135
9.6373415	9.781	-0.1436585006713873
7.2674866	7.372	-0.10451342773437489
5.0897765	5.254	-0.1642234840393062
9.012315	8.783	0.22931479644775443
6.7144837	6.965	-0.2505162620544432
8.065517	8.741	-0.6754825744628903
7.071656	6.623	0.4486562271118162
7.2556443	6.848	0.4076443214416505
6.389452	6.145	0.24445198059082074
8.483961	9.455	-0.9710388946533204
7.168708	8.047	-0.8782921524047858
6.264064	6.28	-0.01593616485595728
6.812211	6.927	-0.1147889633178707
5.0529537	4.927	0.12595372009277384
7.2988024	6.999	0.29980237579345737
6.379475	7.057	-0.6775248832702641
7.0440855	8.045	-1.0009144973754882
8.752774	8.951	-0.19822576141357473
7.697173	7.514	0.18317311859130836
5.9167843	5.762	0.15478428649902387
5.7129383	5.548	0.16493830871582027
5.036706	4.611	0.4257059707641604
6.566637	6.844	-0.27736296081543
9.246901	9.636	-0.38909944152831955
5.861581	6.635	-0.7734191513061521
6.7705536	6.716	0.05455358886718731
6.7350574	6.499	0.236057353973389
4.777001	4.577	0.200000904083252
5.7741327	5.55	0.22413272857666033
5.7740784	5.372	0.4020783691406251
6.0755506	6.037	0.038550556182861406
6.4175262	6.718	-0.30047375488281247
7.9749193	7.833	0.14191931915283185
6.2093663	6.007	0.20236632156372103
6.288774	5.9	0.38877401351928675
7.707608	8.011	-0.30339177703857345
7.636307	7.461	0.1753067626953122
11.049418	11.185	-0.13558155059814503
7.5403495	7.786	-0.24565051651000935
6.952011	7.073	-0.1209888916015629
6.519605	6.592	-0.07239484024047815
7.6455426	7.955	-0.30945737838745124
6.161856	6.64	-0.47814382553100554
7.421906	6.869	0.5529059944152834
8.285731	8.717	-0.43126868438720756
4.293832	3.705	0.5888318252563476
6.6648993	7.222	-0.5571006507873539
8.160327	8.029	0.1313269577026368
4.8978133	4.712	0.18581332015991237
5.5619807	5.792	-0.23001927566528302
6.5111227	6.543	-0.031877296447754055
7.4565225	7.229	0.22752246475219717
8.073143	8.205	-0.13185699462890632
6.7925487	6.815	-0.022451343536377344
6.5319543	6.361	0.17095428848266625
3.8185651	4.157	-0.3384348697662354
8.122694	8.181	-0.058305984497069474
5.5352945	5.478	0.05729453277587915
6.841664	6.685	0.15666383743286172
4.378631	4.294	0.0846311149597172
7.3440933	7.09	0.2540933227539064
5.492403	5.571	-0.07859696960449192
5.6557164	5.273	0.382716419219971
4.853043	5.03	-0.17695692062377955
5.193122	4.637	0.5561219100952153
7.2484193	7.486	-0.23758071517944312
7.3380423	7.538	-0.19995774078369166
7.658909	7.556	0.10290884399414058
4.681902	4.408	0.27390193176269495
7.4557014	7.706	-0.2502986488342289
6.09133	5.592	0.4993300514221195
6.397886	6.186	0.21188579940795904
7.2684097	7.451	-0.18259027099609337
6.0789227	5.936	0.14292274856567388
4.6509223	4.415	0.23592229843139645
4.160605	3.833	0.32760495376586896
4.919747	4.41	0.5097468757629393
7.546207	7.828	-0.28179304885864287
6.5347366	7.012	-0.4772633666992183
4.243839	4.398	-0.15416121292114227
6.7137074	6.417	0.29670744705200214
9.576008	9.717	-0.1409921569824224
4.2539206	3.886	0.367920555114746
7.3097486	7.486	-0.1762513504028318
5.9622793	6.112	-0.1497206802368165
6.18579	5.582	0.6037900619506837
6.476955	6.241	0.2359549369812015
6.019063	5.91	0.10906299591064439
5.529939	5.621	-0.09106082534790083
